#X	Y	Z1	Z2
25	7865.5000000	14003.0878657	1727.9121343
50	9744.5000000	11714.5984873	7774.4015127
100	23153.5000000	52672.5088750	-6365.5088750
250	8454.5000000	8883.4451156	8025.5548844
500	36057.0000000	75640.5264838	-3526.5264838
1000	39879.5000000	83923.6399073	-4164.6399073
2000	61639.0000000	71528.9914215	51749.0085785
4000	64734.5000000	140327.9342905	-10858.9342905
6000	56851.0000000	128953.9713708	-15251.9713708
8000	81258.5000000	113622.0278417	48894.9721583
10000	14069.5000000	15402.0710134	12736.9289866
