#X	Y	Z1	Z2
25	79445.5000000	80575.7253369	78315.2746631
50	123735.0000000	125486.8146240	121983.1853760
100	78302.0000000	79654.7624804	76949.2375196
250	33875.0000000	34580.4380092	33169.5619908
500	21466.5000000	22078.3877820	20854.6122180
1000	9103.5000000	9294.0652775	8912.9347225
2000	4492.0000000	4525.2623030	4458.7376970
4000	2123.5000000	2351.4853684	1895.5146316
6000	1540.0000000	1540.0000000	1540.0000000
8000	1113.0000000	1121.3155757	1104.6844243
10000	914.0000000	927.8592929	900.1407071
