#X	Y	Z1	Z2
25	140209.0000000	144631.5003680	135786.4996320
50	240443.5000000	244190.3598386	236696.6401614
100	140455.0000000	146311.4523267	134598.5476733
250	83804.0000000	89751.0225882	77856.9774118
500	54758.0000000	55456.5083627	54059.4916373
1000	28471.0000000	31222.0696429	25719.9303571
2000	13463.0000000	14261.2952717	12664.7047283
4000	7959.0000000	9507.0830182	6410.9169818
6000	3975.0000000	4157.9426664	3792.0573336
8000	3038.0000000	3182.1366463	2893.8633537
10000	2663.0000000	3031.6571914	2294.3428086
