#X	Y	Z1	Z2
25	78577.0000000	79042.6722418	78111.3277582
50	130184.5000000	130283.5939443	130085.4060557
100	82195.0000000	83982.8642295	80407.1357705
250	35485.0000000	37346.3030380	33623.6969620
500	21616.0000000	22138.4953428	21093.5046572
1000	9180.0000000	9263.1557575	9096.8442425
2000	4620.0000000	4620.0000000	4620.0000000
4000	2288.0000000	2288.0000000	2288.0000000
6000	1540.0000000	1540.0000000	1540.0000000
8000	1157.0000000	1175.0170808	1138.9829192
10000	934.5000000	949.0522576	919.9477424
