#X	Y	Z1	Z2
25	166576.0000000	182842.6520899	150309.3479101
50	242728.0000000	249851.6765564	235604.3234436
100	155821.7500000	164687.9626633	146955.5373367
250	76983.0000000	90716.1733458	63249.8266542
500	45602.0000000	46752.3213116	44451.6786884
1000	17233.0000000	17654.3225045	16811.6774955
2000	12266.5000000	14319.7542448	10213.2457552
4000	4863.5000000	4943.1909342	4783.8090658
6000	3532.5000000	3587.2442070	3477.7557930
8000	2431.5000000	2549.9969544	2313.0030456
10000	2590.5000000	2836.5024492	2344.4975508
