#X	Y	Z1	Z2
25	11398.5000000	13363.0547702	9433.9452298
50	13792.0000000	16971.3217938	10612.6782062
100	16315.2500000	18205.0483643	14425.4516357
250	9648.5000000	10178.6179539	9118.3820461
500	10666.5000000	12129.3483668	9203.6516332
1000	7753.5000000	8515.0681455	6991.9318545
2000	6565.0000000	9016.7089160	4113.2910840
4000	6878.5000000	7164.6943986	6592.3056014
6000	5406.5000000	6197.1726606	4615.8273394
8000	4944.0000000	5725.6641202	4162.3358798
10000	4710.0000000	5580.3635948	3839.6364052
