#X	Y	Z1	Z2
25	79322.5000000	80260.0811654	78384.9188346
50	116811.5000000	120688.6371919	112934.3628081
100	75444.0000000	77693.9217475	73194.0782525
250	35126.5000000	35908.8570848	34344.1429152
500	21003.5000000	21054.0864191	20952.9135809
1000	9208.0000000	9252.3497373	9163.6502627
2000	4515.0000000	4515.0000000	4515.0000000
4000	2314.0000000	2350.0341616	2277.9658384
6000	1540.0000000	1540.0000000	1540.0000000
8000	1144.0000000	1144.0000000	1144.0000000
10000	924.0000000	924.0000000	924.0000000
