#X	Y	Z1	Z2
25	187380.0000000	188815.8227456	185944.1772544
50	252656.0000000	262029.0397959	243282.9602041
100	171286.0000000	179663.1442705	162908.8557295
250	78658.0000000	91811.8549021	65504.1450979
500	47531.5000000	50021.3219715	45041.6780285
1000	21310.5000000	23017.2719220	19603.7280780
2000	10994.5000000	11359.6923682	10629.3076318
4000	5659.5000000	5748.8924393	5570.1075607
6000	3542.0000000	3648.7165554	3435.2834446
8000	3206.5000000	3370.7326210	3042.2673790
10000	2488.0000000	2609.9617776	2366.0382224
