#X	Y	Z1	Z2
25	246280.0000000	254257.4089997	238302.5910003
50	281807.0000000	282486.1053527	281127.8946473
100	217545.2500000	222777.7381383	212312.7618617
250	93953.0000000	101273.4785157	86632.5214843
500	53569.5000000	54568.0620543	52570.9379457
1000	15644.5000000	15726.9627928	15562.0372072
2000	8460.5000000	9138.9123880	7782.0876120
4000	4066.5000000	4696.4048628	3436.5951372
6000	2440.5000000	2489.7004898	2391.2995102
8000	2047.5000000	2196.4873988	1898.5126012
10000	1669.5000000	1829.5748331	1509.4251669
